STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00094741,"TETERBORO AIRPORT, NJ US",6/27/2019,0,,,,90,70
USW00094741,"TETERBORO AIRPORT, NJ US",6/28/2019,0,,,,92,69
USW00094741,"TETERBORO AIRPORT, NJ US",6/29/2019,0.47,,,,93,72
USW00094741,"TETERBORO AIRPORT, NJ US",6/30/2019,0.01,,,,85,68
USW00094741,"TETERBORO AIRPORT, NJ US",7/1/2019,0,,,,87,63
USW00094741,"TETERBORO AIRPORT, NJ US",7/2/2019,0.06,,,,89,67
USW00094741,"TETERBORO AIRPORT, NJ US",7/3/2019,0,,,,91,76
USW00094741,"TETERBORO AIRPORT, NJ US",7/4/2019,0,,,,92,71
USW00094741,"TETERBORO AIRPORT, NJ US",7/5/2019,0,,,,87,72
USW00094741,"TETERBORO AIRPORT, NJ US",7/6/2019,0.24,,,,93,75
USW00094741,"TETERBORO AIRPORT, NJ US",7/7/2019,0,,,,87,72
USW00094741,"TETERBORO AIRPORT, NJ US",7/8/2019,0.11,,,,83,71
USW00094741,"TETERBORO AIRPORT, NJ US",7/9/2019,0,,,,90,68
USW00094741,"TETERBORO AIRPORT, NJ US",7/10/2019,0,,,,94,69
USW00094741,"TETERBORO AIRPORT, NJ US",7/11/2019,1.18,,,,88,74
USW00094741,"TETERBORO AIRPORT, NJ US",7/12/2019,0,,,,90,72
USW00094741,"TETERBORO AIRPORT, NJ US",7/13/2019,0,,,,88,69
USW00094741,"TETERBORO AIRPORT, NJ US",7/14/2019,0,,,,91,72
USW00094741,"TETERBORO AIRPORT, NJ US",7/15/2019,0,,,,88,67
USW00094741,"TETERBORO AIRPORT, NJ US",7/16/2019,0,,,,95,69
USW00094741,"TETERBORO AIRPORT, NJ US",7/17/2019,0.94,,,,97,75
USW00094741,"TETERBORO AIRPORT, NJ US",7/18/2019,0.68,,,,79,73
USW00094741,"TETERBORO AIRPORT, NJ US",7/19/2019,0,,,,94,72
USW00094741,"TETERBORO AIRPORT, NJ US",7/20/2019,0,,,,98,80
USW00094741,"TETERBORO AIRPORT, NJ US",7/21/2019,0,,,,99,79
USW00094741,"TETERBORO AIRPORT, NJ US",7/22/2019,1.22,,,,93,72
USW00094741,"TETERBORO AIRPORT, NJ US",7/23/2019,2.25,,,,76,67
USW00094741,"TETERBORO AIRPORT, NJ US",7/24/2019,0.02,,,,86,68
USW00094741,"TETERBORO AIRPORT, NJ US",7/25/2019,0,,,,86,67
USW00094741,"TETERBORO AIRPORT, NJ US",7/26/2019,0,,,,89,66
USW00094741,"TETERBORO AIRPORT, NJ US",7/27/2019,0,,,,88,69
USW00094741,"TETERBORO AIRPORT, NJ US",7/28/2019,0,,,,92,71
